"source_path","site","classification","file_type","bytes","dimensions","sha256","disposition","destination","owner","usage_files","alt_text","alt_text_status","caption","credit","usage_approval","original_status","exact_duplicate_of","possible_duplicate_of","quality_issues","notes"
"apps/womanexcel/public/images/conference/2026/day-two-10.jpg","womanexcel","editorial image","jpg","231137","1600x900","c859cc6d1afab48bb32db7fc12ce43e752d878f1334fade175f1621eab6add6b","move to Sanity","Sanity conference gallery image","womanExcel.conference.2026.gallery","apps/womanexcel/src/pages/conference/2026.astro; apps/womanexcel/src/components/conference/2026/hero.astro","Women gathered before the stage during the closing service","present",,,"approved","web-ready JPEG only; camera original unconfirmed",,,"permission and credit unconfirmed","Real Woman Excel 2026 conference photograph."
"apps/womanexcel/public/images/logo-full.png","womanexcel","logo/brand asset","png","28358","1090x780","b3b467c762ca23f127a73ad87882fde58c3feaf2b87bc42a19db83597708c8c4","replace","Approved white Woman Excel logo in apps/womanexcel/public/images","womanExcel.conference.brand","apps/womanexcel/src/components/conference/2026/aboutus.astro; apps/womanexcel/src/components/home/conference.astro","The Woman Excel International Conference","present on homepage; empty on conference about section",,,"approved","rendered PNG; editable design source unconfirmed",,,"replacement requested: change to the white logo version","Approved for current use; replace with the white Woman Excel logo when supplied. The empty conference-page alt can be valid if the nearby heading conveys the same identity."
"apps/womanexcel/public/images/placeholds/photo-1.jpg","womanexcel","editorial image","jpg","215005","1600x900","f05db63d7e6575041161b3f495ee2bcc9d47a1903ba46fc625b0258ddd9ce70e","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template; womanExcel.homePage.hero","apps/womanexcel/src/pages/conference/template.astro; apps/womanexcel/src/components/home/hero.astro","Woman Excel conference highlight 1 in template; decorative on fellowship homepage","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-10.jpg","womanexcel","editorial image","jpg","139010","1600x900","178997f4337fda41faf4f90d17582fc2841352e6541ace510fd666179949e559","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template; womanExcel.homePage.hero; womanExcel.newsletter.2026-05","apps/womanexcel/src/pages/conference/template.astro; apps/womanexcel/src/components/home/hero.astro; apps/womanexcel/src/content/newsletters/2026-05.md","Woman Excel conference highlight 10 in template; decorative on fellowship homepage; newsletter image","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-2.jpg","womanexcel","editorial image","jpg","143804","1600x900","7b39b55f4238b5a5d05ea7ed1efcc1dbdd193f029c4c85a6b6971d54a8ec2ba2","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 2 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-3.jpg","womanexcel","editorial image","jpg","75884","1600x900","338ce727b1c64f891170cfebb200c555ce0bcb7e13b048426c291b507cb39625","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 3 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-4.jpg","womanexcel","editorial image","jpg","146740","1600x900","118483624ae72e994cc528925d80a5954708ceaf382f304d5d268f896547dee1","replace","Sanity image asset after approved real Woman Excel photography is supplied","womanExcel.conference.template; womanExcel.homePage.hero; womanExcel.homePage.about; womanExcel.newsletter.2026-07","apps/womanexcel/src/pages/conference/template.astro; apps/womanexcel/src/components/home/about.astro; apps/womanexcel/src/components/home/hero.astro; apps/womanexcel/src/content/newsletters/2026-07.md","Woman Excel conference highlight 4 in template; decorative on fellowship homepage; newsletter image","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-5.jpg","womanexcel","editorial image","jpg","176370","1600x900","a0f792e9a3104421805ba74303e571be33a1fe004b2102f729a9f1e3ac7e2d54","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 5 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-6.jpg","womanexcel","editorial image","jpg","290258","1600x900","e8d644a7db726581193c3f18f6368ddd4b06baaeac8f00b76999c45f18f1f56a","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 6 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-7.jpg","womanexcel","editorial image","jpg","97871","1600x900","e7d46cb3de98a104a22c5961f50913537f64bb4377212362370db699c181e0d5","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template; womanExcel.homePage.hero; womanExcel.newsletter.2026-08","apps/womanexcel/src/pages/conference/template.astro; apps/womanexcel/src/components/home/hero.astro; apps/womanexcel/src/content/newsletters/2026-08.md","Woman Excel conference highlight 7 in template; decorative on fellowship homepage; newsletter image","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-8.jpg","womanexcel","editorial image","jpg","187222","1600x900","e9a1a8f1a8135e27ae098f0c1994707da77dbb0c44b7ffd9bd43af5da3d51ada","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 8 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/placeholds/photo-9.jpg","womanexcel","editorial image","jpg","128694","1600x900","7e6adf70479181a0fd4ea96d756db6787a1f4558f0b30ede00b0f8df01e0aa54","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.template","apps/womanexcel/src/pages/conference/template.astro","Woman Excel conference highlight 9 in template","present but inaccurate for stock image",,,"development-only","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Development-only placeholder; conference sites must use only real supplied images in production."
"apps/womanexcel/public/images/speakers/angela-hunter.png","womanexcel","editorial image","png","2841838","1000x1000","c3ed7f86bbd361e65ebcc31a49394fcac46479ea8c6313506f28f8b2a5f64c93","move to Sanity","Sanity person portrait image","person.angelaHunter / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","Angela Hunter","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference speaker image."
"apps/womanexcel/public/images/speakers/dunni-esuturie.png","womanexcel","editorial image","png","2636573","1000x1000","05366013a1d4c957b16fa99e8911b89c2447b25f96eba1f59b005d9b7b742ff5","move to Sanity","Sanity person portrait image","person.dunniEsuturie / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","Dunni Esuturie","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference speaker image."
"apps/womanexcel/public/images/speakers/his-covenant-music.png","womanexcel","editorial image","png","2948002","1000x1000","bf6ac583b7da1c6d6128ae7ad1989afa2bd52cd0bf024e1d04e4f326a920d75a","move to Sanity","Sanity performer portrait image","performer.hisCovenantMusic / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","His Covenant Music","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference performer image."
"apps/womanexcel/public/images/speakers/marina-esiri-iyeme-eteng.png","womanexcel","editorial image","png","2715202","1000x1000","8530c23fce839b1abe825c6881291dfef76e6cb2379dd3e34d35655bb0980169","move to Sanity","Sanity person portrait image","person.marinaEsiriIyemeEteng / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","Marina Esiri Iyeme-Eteng","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference speaker image."
"apps/womanexcel/public/images/speakers/reuben-adeleye.png","womanexcel","editorial image","png","2944153","1000x1000","153109887045af577c062ee1f80d67330db621fce824f1e99f912281b821e761","move to Sanity","Sanity person portrait image","person.reubenAdeleye / womanExcel.conference.2026 / churchMain.homePage","apps/womanexcel/src/components/conference/2026/speakers.ts","Pst. Reuben Adeleye","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved canonical portrait for Woman Excel and Church Main."
"apps/womanexcel/public/images/speakers/tobie-hainstock.png","womanexcel","editorial image","png","2977636","1000x1000","a8ebf23f0979a7b642af9124bc5e3ef0285d70d88f70c2b8afbe6eb51cd479b2","move to Sanity","Sanity person portrait image","person.tobieHainstock / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","Tobie Hainstock","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference speaker image."
"apps/womanexcel/public/images/speakers/tosin-olayinka-ajibs.png","womanexcel","editorial image","png","2681553","1000x1000","4395d273470a671d94354cb2ba11e267a55fa921377bf1949b866b3c1813b96b","move to Sanity","Sanity person portrait image","person.tosinOlayinkaAjibs / womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/speakers.ts","Tosin Olayinka Ajibs","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved Woman Excel 2026 conference speaker image."
"apps/womanexcel/public/images/speakers/toyin-adeleye.png","womanexcel","editorial image","png","2431144","1000x1000","b0caeaec363399f17004ae9561a31ef8a837e3008a867655bc950ad566c8e49b","move to Sanity","Sanity person portrait image","person.toyinAdeleye / womanExcel.conference.2026 / churchMain.homePage","apps/womanexcel/src/components/conference/2026/speakers.ts","Pst. Toyin Adeleye","present",,,"approved","transparent cutout only; original photograph missing",,,"oversized 16-bit PNG; credit unconfirmed","Approved canonical portrait for Woman Excel and Church Main."
"apps/womanexcel/public/images/the-word.svg","womanexcel","editorial image","svg","53565","4800x1369","f38b0959e2d40337f8b8333b9b16476ce1d119550a5d5cc478a9a8e4369f18c0","move to Sanity","Sanity conference themeArtwork image field","womanExcel.conference.2026.theme","apps/womanexcel/src/components/conference/2026/hero.astro","The Word","present",,,"approved","vector artwork present",,,"","Approved conference-specific hero theme artwork; migrate to the 2026 conference themeArtwork field."
"apps/womanexcel/src/assets/excellent-women-logo.jpg","womanexcel","logo/brand asset","jpg","14286","480x480","7d325d8c89499e12239857cabef34651bf52606073bb3c65ef42161bc224c85d","keep in Git","apps/womanexcel/src/assets","womanExcel.fellowship.brand","apps/womanexcel/src/components/home/hero.astro; apps/womanexcel/src/layouts/layout.astro","Cornerstone Excellent Women","present",,,"development-only","rendered JPEG only; vector source missing",,,"development-only; lossy raster logo; approved vector original should replace it if available","Approved for development use only; do not use in production or migrate to Sanity."
"apps/womanexcel/src/assets/logo.png","womanexcel","logo/brand asset","png","120745","366x365","477df76a3fa8d3d77351fd4c861fcd49c7413baba7f581281ac1e1475feb0cff","replace","Approved white Woman Excel logo in apps/womanexcel/src/assets","womanExcel.conference.brand","apps/womanexcel/src/layouts/layout.astro",,"decorative favicon",,,"approved","rendered PNG; related vector exists",,"apps/womanexcel/src/assets/logo.svg","semantic duplicate/variant of the conference logo SVG; replacement requested: change to the white logo version","Approved for current use as the conference favicon; replace with the white Woman Excel logo version when supplied."
"apps/womanexcel/src/assets/logo.svg","womanexcel","logo/brand asset","svg","1228233","2172x724","abe4688e80c8f4fa86a62b81468226e07454c9cb5a1fb992f93bd43e45ec1d68","replace","Approved white Woman Excel logo in apps/womanexcel/src/assets","womanExcel.conference.brand","apps/womanexcel/src/layouts/layout.astro",,"decorative; adjacent site identity supplies the name",,,"approved","SVG present",,,"replacement requested: change to the white logo version; 1.2 MB SVG is unusually large and should be optimized if retained","Approved for current use as the build-time conference wordmark; replace with the white Woman Excel logo version when supplied."
